,JP-01,JP-02,JP-03,JP-04,JP-05,JP-06,JP-07,JP-08,JP-09,JP-10,JP-11,JP-12,JP-13,JP-14,JP-15,JP-16,JP-17,JP-18,JP-19,JP-20,JP-21,JP-22,JP-23,JP-24,JP-25,JP-26,JP-27,JP-28,JP-29,JP-30,JP-31,JP-32,JP-33,JP-34,JP-35,JP-36,JP-37,JP-38,JP-39,JP-40,JP-41,JP-42,JP-43,JP-44,JP-45,JP-46,JP-47
2021-02-07,1099.0279541016,46.8997688293,21.1565761566,227.693939209,26.9687480927,46.667137146,177.7544250488,642.8331298828,438.3079528809,380.6022338867,3622.6574707031,4694.2260742188,9982.9951171875,2816.8359375,104.9936599731,36.2759094238,105.5801620483,41.3084220886,28.6329593658,134.8028869629,385.951171875,541.895690918,1908.6759033203,344.5616149902,284.6628417969,1215.5557861328,3577.5827636719,1022.5675048828,282.7100524902,98.6110153198,24.1006507874,20.4936599731,173.3328399658,206.1174468994,249.4515838623,38.3728904724,114.6855239868,72.5158996582,24.8890228271,2006.1434326172,79.8144607544,153.9493560791,185.0189056396,141.321685791,154.2505645752,126.3413619995,607.5484008789
2021-02-08,1039.791015625,44.518032074,21.0070438385,218.4370269775,24.7838058472,47.6502456665,170.3659210205,620.9812011719,416.0655822754,362.7176208496,3458.8571777344,4535.3081054688,9467.34375,2654.9455566406,102.6699981689,34.008102417,107.495803833,39.0283737183,26.9604206085,126.2845230103,372.7945556641,526.044921875,1796.2338867188,339.2198791504,279.8788146973,1168.4716796875,3367.6501464844,1028.6069335938,277.8232727051,97.7948150635,23.4234371185,20.3369464874,167.1567077637,195.4548950195,238.7004089355,36.2498626709,112.716255188,68.7917861938,25.5831127167,1896.708984375,73.9393768311,145.1729431152,176.3502197266,133.61668396,143.5243835449,118.889175415,572.9292602539
2021-02-09,991.9017944336,42.2009086609,20.7002048492,209.1799926758,22.8362522125,48.0462303162,164.5441589355,598.9058837891,394.9808044434,348.4959716797,3312.1486816406,4388.2138671875,9149.9853515625,2536.8933105469,100.3961181641,31.9305801392,107.6293716431,36.919467926,25.6559925079,118.7131958008,360.8318786621,514.6527099609,1707.4370117188,332.9311218262,273.7807617188,1136.7277832031,3235.392578125,1020.2725830078,273.5088500977,96.2433395386,22.657579422,19.8898410797,161.5977325439,184.4898986816,227.5755767822,34.1299552917,109.2560806274,65.4048995972,25.9967422485,1802.4071044922,68.7696075439,137.2920074463,167.615447998,126.3013534546,135.08644104,112.0866928101,546.2746582031
2021-02-10,945.8577270508,40.1351280212,20.3586559296,200.2373657227,21.1215305328,48.1793403625,159.1166381836,589.2888793945,377.0648193359,340.9518432617,3215.4853515625,4338.189453125,9235.890625,2513.2883300781,99.1877288818,30.2196578979,108.3344573975,35.1508712769,24.8980808258,112.5487136841,359.0756835938,521.9417724609,1683.5926513672,332.5498046875,267.3309326172,1126.0081787109,3212.1540527344,1001.8280029297,269.4671630859,94.3188400269,21.8816394806,19.2823753357,156.098526001,173.3316955566,216.8561553955,32.129573822,104.513343811,62.5065040588,26.1612586975,1713.4597167969,64.2775650024,130.0690765381,159.1080932617,120.4762268066,129.4734344482,106.3254013062,530.1357421875
2021-02-11,925.9786987305,38.8695144653,20.3836574554,191.4748535156,19.8001804352,49.1969299316,156.5213928223,590.4312744141,365.9164123535,346.40234375,3160.3869628906,4307.0595703125,9400.1259765625,2543.2399902344,99.1441879272,28.9700603485,109.1618347168,34.0318145752,24.7944335938,108.1387405396,359.7920837402,525.6227416992,1648.5855712891,334.6467895508,263.1001586914,1124.8433837891,3171.6176757812,994.2783813477,267.3525695801,93.9466247559,21.3712806702,18.8892154694,152.8031311035,164.0901489258,208.26121521,30.5335388184,100.0068588257,60.3436126709,27.133846283,1632.8831787109,60.7876701355,125.1614151001,153.2810668945,116.6787261963,127.4433135986,102.3456115723,527.4694824219
2021-02-12,902.7536010742,38.0875663757,20.9518756866,184.2200469971,18.7773571014,51.0298690796,154.10546875,579.007019043,355.1710510254,349.8657836914,3103.0649414062,4304.78125,9394.4501953125,2482.0771484375,99.2844924927,28.0909824371,109.230255127,33.288192749,25.1979217529,104.3301315308,354.1754150391,529.4298095703,1583.4361572266,332.5606994629,256.0216674805,1121.4997558594,3152.2377929688,1016.3364257812,265.7169494629,95.6393585205,21.265089035,18.8966999054,152.7598571777,158.1295166016,200.5210418701,29.3502922058,95.6521911621,59.2602386475,28.6799716949,1566.30078125,58.296005249,122.8300552368,151.1344451904,114.4458999634,127.6965484619,99.6487503052,529.5336303711
2021-02-13,861.8250732422,37.1115570068,21.1545028687,176.0982971191,17.9021968842,52.1743545532,149.9624176025,563.6818237305,345.0211181641,346.0215454102,3008.6557617188,4242.236328125,9334.3125,2423.4089355469,97.7525177002,27.1177921295,106.6624908447,32.4061317444,25.4043273926,100.2567672729,344.6568603516,532.3862304688,1510.0745849609,326.6693725586,247.9818878174,1106.3699951172,3058.4084472656,1014.2376098633,260.439666748,96.3254470825,21.1629829407,18.6995391846,152.24659729,152.1553039551,193.4808807373,28.0874404907,91.0522079468,57.3122215271,29.3848838806,1489.5187988281,55.6943817139,120.264175415,148.8542480469,110.8463363647,126.5877227783,96.311164856,517.1909179688
2021-02-14,825.1346435547,36.0601005554,21.4111862183,169.015335083,17.1253929138,52.8784980774,146.0651397705,543.7134399414,333.8779296875,341.285736084,2933.7590332031,4165.4575195312,9586.2158203125,2374.6018066406,95.2212142944,26.2905216217,103.0295181274,31.4013519287,25.855430603,96.9438552856,337.620513916,538.9943237305,1475.8677978516,321.1138000488,239.4683074951,1085.728515625,2963.7961425781,1002.2874755859,251.8249206543,96.3439178467,20.9679336548,18.4240264893,151.895904541,146.8271484375,185.4605255127,26.7905731201,86.0317153931,55.2470397949,29.5724925995,1406.6252441406,53.0143699646,118.0072021484,147.3918457031,107.3694763184,125.3590393066,92.9634475708,504.5692443848
2021-02-15,798.5386962891,35.2385940552,21.8262004852,165.0438079834,16.5558948517,54.0267295837,141.2529602051,539.2611083984,327.3359375,343.0725097656,2934.2631835938,4259.8647460938,9958.123046875,2470.640625,93.6712112427,26.1342506409,101.0237808228,31.1605834961,27.4263477325,95.7905807495,340.9752197266,556.1347045898,1466.7224121094,323.3905334473,232.1789093018,1079.1545410156,2943.6057128906,1000.2102050781,241.7545928955,95.5677185059,20.7264709473,18.0441398621,151.0984802246,141.4214935303,177.3449707031,25.4834518433,80.6002197266,53.2972984314,29.4965000153,1339.9697265625,50.4153862,116.4322128296,147.2074127197,105.2362136841,125.5177307129,90.5074768066,499.187713623
2021-02-16,766.4630737305,34.4917068481,22.1258907318,159.9363861084,16.1108837128,54.6456985474,136.6591339111,522.3463134766,320.2083435059,339.1530456543,2888.2956542969,4193.8740234375,10120.4208984375,2453.4799804688,91.881690979,26.3087844849,98.8388977051,31.2789936066,29.6504001617,95.6396408081,339.1840515137,569.0712280273,1456.0522460938,324.9906921387,226.9242553711,1067.2718505859,2896.1474609375,1002.4033813477,231.9730682373,94.291847229,20.3903083801,17.5736217499,149.0029449463,135.8023376465,169.9015197754,24.1838722229,75.3316955566,51.3467445374,29.3855304718,1270.2038574219,48.0482826233,115.1034011841,147.340637207,102.5670013428,125.525642395,87.8351516724,492.5637817383
