,JP-01,JP-02,JP-03,JP-04,JP-05,JP-06,JP-07,JP-08,JP-09,JP-10,JP-11,JP-12,JP-13,JP-14,JP-15,JP-16,JP-17,JP-18,JP-19,JP-20,JP-21,JP-22,JP-23,JP-24,JP-25,JP-26,JP-27,JP-28,JP-29,JP-30,JP-31,JP-32,JP-33,JP-34,JP-35,JP-36,JP-37,JP-38,JP-39,JP-40,JP-41,JP-42,JP-43,JP-44,JP-45,JP-46,JP-47
2021-02-06,1139.6528320312,50.7612533569,23.2152996063,232.73608398439998,30.3742294312,46.531448364300005,209.1343536377,669.0192260742,489.83071899410004,393.97412109379997,3687.8881835938,4863.8623046875,10105.9033203125,2890.2219238281,107.30556488040001,38.7841911316,110.4121398926,50.4289512634,29.771425247199996,137.03515625,377.7704772949,548.499206543,1972.1871337891,329.0657653809,299.6007385254,1220.1832275391,3698.6918945312,895.8793334961,277.5395812988,92.6896820068,25.499849319499997,21.7012748718,170.6448364258,198.3442230225,285.5897521973,41.1754264832,130.3596343994,82.9617996216,25.3512802124,2171.76171875,95.4021377563,166.2721557617,178.16015625,151.6758880615,176.8604888916,140.59089660639998,632.8245849609
2021-02-07,1116.0042724609,47.7589607239,22.530075073200003,219.32652282709998,28.6585044861,44.9811401367,205.4123077393,655.8627319336,463.1473693848,386.31216430660004,3576.5854492188,4726.9873046875,9546.689453125,2791.3898925781,99.4351730347,37.0539131165,119.1269836426,46.931186676,28.1700229645,128.9709472656,368.52474975589996,536.8463745117,1841.2084960938,313.5776062012,292.7093505859,1143.8842773438,3451.1096191406,885.8518676758,270.7600402832,89.6439819336,24.410125732399997,20.832235336300002,159.5041503906,183.8625640869,271.411315918,37.06798172,124.27049255370001,78.0930099487,25.0077285767,2023.123046875,90.7621612549,154.9126281738,166.3592224121,143.42628479,167.0314178467,133.50746154790002,600.7728881836
2021-02-08,1104.1098632812,45.6029243469,22.0382919312,209.2119140625,27.120141983000003,43.539672851599995,204.0957641602,651.0845947266,438.6296386719,379.5425415039,3448.1474609375,4562.7841796875,9172.78125,2718.4152832031,92.5304946899,35.6356086731,122.74145507809999,44.143432617200006,27.153852462800003,122.3515625,357.4848327637,520.9002685547,1711.4188232422,300.0078430176,286.3165283203,1076.5745849609,3255.0043945312,875.6538085938,263.5081176758,86.9189758301,23.439573288000002,19.881729126,150.28591918950002,170.8985290527,261.1680908203,33.5291633606,118.12865448,73.7526626587,24.7575645447,1885.5620117188,86.4228591919,145.43435668950002,156.0200500488,136.2394256592,159.5775299072,126.8114471436,574.6961669922
2021-02-09,1102.8178710938,44.0139884949,21.700305938699998,199.8376159668,25.6727352142,42.2403068542,201.929397583,645.4398803711,415.9591369629,374.68087768550004,3312.7958984375,4420.91796875,9007.9794921875,2635.9018554688,86.501121521,34.499458313000005,124.2195053101,41.9605789185,26.6018066406,116.9853286743,345.3254394531,512.3394775391,1608.8537597656,288.076171875,280.0201416016,1018.4635009766,3141.0874023438,864.999206543,255.9470062256,84.6793212891,22.6074581146,18.9692783356,142.9801330566,159.2040710449,254.46969604490002,30.4740657806,112.0870285034,69.9476547241,24.5398788452,1757.1611328125,82.2426986694,137.5748291016,147.3141937256,130.5389099121,154.0199584961,120.5701980591,556.599609375
2021-02-10,1075.8889160156,43.0070610046,21.4191951752,189.7254943848,24.2969074249,41.072158813499996,202.11965942380002,650.159362793,395.0102233887,372.57025146480004,3191.3500976562,4274.9018554688,8852.869140625,2557.6567382812,81.1149673462,33.4495010376,123.3423080444,40.2946853638,26.2930316925,112.6407775879,332.708190918,508.4573974609,1525.1134033203,278.6856384277,273.8512573242,968.5775146484,3042.7788085938,856.2426757812,248.08952331540002,82.8993682861,21.8885364532,18.0908851624,137.2552185059,148.85484313959998,250.0386505127,27.8276844025,106.2718200684,66.9418182373,24.4044017792,1626.0551757812,78.21141815189999,131.0529937744,140.2489318848,126.1869888306,149.3153686523,114.7021560669,543.9420166016
2021-02-11,1085.3969726562,42.6034355164,21.2532024384,178.32014465330002,23.0468101501,40.039428710900005,205.42539978029998,666.260559082,376.7828369141,373.0170593262,3084.8920898438,4092.2590332031,8786.2734375,2500.400390625,76.4075927734,32.6155128479,121.3651428223,39.144634246799995,26.2908210754,109.0924377441,320.4688720703,500.1972961426,1438.8723144531,271.1634521484,268.0765686035,925.1975097656,2959.9780273438,850.8109130859,240.3509979248,81.3291320801,21.2952919006,17.3234672546,132.63957214360002,139.7956237793,248.03857421880002,25.5156898499,100.7052078247,64.5946807861,24.494729995700002,1507.0456542969,74.4985809326,125.59043884280001,134.7410583496,122.34294891360001,145.7087554932,109.4518127441,538.807800293
2021-02-12,1106.1812744141,42.5535850525,21.1059532166,168.27604675290002,21.852668762199997,39.1648101807,207.9323272705,680.7884521484,358.42514038089996,370.5860595703,3003.7260742188,3916.611328125,8602.3642578125,2445.1208496094,72.1463623047,31.857221603400003,118.38848876950001,38.4029655457,26.4219417572,105.9201965332,306.6607666016,497.8706665039,1369.6027832031,264.4541625977,262.1510314941,885.2496948242,2907.7619628906,848.0147094727,232.3220062256,80.0007781982,20.7939662933,16.6447029114,129.00090026860002,131.9374389648,246.9529876709,23.478540420500003,95.4784698486,62.7660064697,24.725873947100002,1401.0279541016,70.9446029663,120.9467849731,130.5827178955,119.5254745483,142.0037536621,104.6083984375,535.3759765625
2021-02-13,1113.5812988281,42.827835083000004,21.0152339935,159.2983398438,20.722328186,38.0536651611,207.42010498049999,676.3574829102,341.9761657715,366.20834350589996,2910.0698242188,3757.5029296875,8459.1533203125,2348.4167480469,68.4173965454,31.1663951874,114.43249511719999,37.932258606,26.6376094818,102.9132003784,292.6206054688,492.0546875,1302.3605957031,257.9158325195,256.3611450195,847.1265258789,2850.5490722656,847.7758789062,225.34420776369998,78.6851654053,20.3668422699,16.040498733499998,126.3828811646,125.16800689700001,246.4860229492,21.678735733000003,90.4353408813,60.861389160200005,25.102542877199998,1301.3940429688,67.5145645142,116.6712265015,127.2312240601,114.65969848629999,139.2531738281,100.2009048462,536.1639404297
2021-02-14,1110.3331298828,43.767665863000005,21.0920391083,152.315826416,19.692113876300002,37.121284484899995,203.46278381349998,659.3024291992,326.4543762207,359.4212036133,2821.3088378906,3651.1728515625,8276.4892578125,2299.1979980469,65.21719360350001,30.629680633499998,110.05414581299999,37.826118469200004,26.9815807343,100.5063323975,279.7594299316,493.24240112300004,1243.9094238281,251.3382263184,249.722366333,811.8780517578,2838.3327636719,848.4108886719,218.6275634766,77.8258895874,20.0272312164,15.510056495699999,124.6078109741,119.6626739502,248.330078125,20.092880249,85.4588394165,59.1501502991,25.4452705383,1213.5939941406,64.700881958,112.8048553467,125.0332260132,112.9767074585,137.4658660889,96.41664123540001,546.0800170898
2021-02-15,1097.4776611328,44.8983345032,21.0772819519,146.6045227051,18.7572231293,36.5428581238,199.5074005127,644.5324707031,310.5077819824,350.58685302730004,2722.3923339844,3532.4370117188,8064.8334960938,2247.8498535156,62.0304260254,29.960458755500003,105.2185592651,37.9846954346,27.2298278809,98.557975769,267.4945678711,494.6559753418,1191.5786132812,246.5269012451,243.17727661130002,779.3572387695,2814.0961914062,846.7476196289,208.90965271,77.0059051514,19.6992530823,15.091995239300001,123.68737792969999,115.2943191528,250.38468933110002,18.6840705872,80.8811416626,57.9000358582,25.938589096100003,1135.6105957031,61.877323150600006,109.2645721436,123.6209030151,112.0818023682,134.390045166,93.171661377,549.428894043
