,JP-01,JP-02,JP-03,JP-04,JP-05,JP-06,JP-07,JP-08,JP-09,JP-10,JP-11,JP-12,JP-13,JP-14,JP-15,JP-16,JP-17,JP-18,JP-19,JP-20,JP-21,JP-22,JP-23,JP-24,JP-25,JP-26,JP-27,JP-28,JP-29,JP-30,JP-31,JP-32,JP-33,JP-34,JP-35,JP-36,JP-37,JP-38,JP-39,JP-40,JP-41,JP-42,JP-43,JP-44,JP-45,JP-46,JP-47
2021-02-04,1183.68359375,54.7677230835,24.0867385864,273.5842285156,35.442993164099995,49.654487609899995,205.704574585,672.6403808594,501.4148864746,356.0473937988,3912.5793457031,5429.470703125,11264.4990234375,3069.9228515625,118.22311401370001,42.4205055237,96.0859375,57.669624328599994,33.7358818054,152.15994262700002,419.1241455078,597.7956542969,2261.3054199219,386.2253417969,300.7139587402,1337.2537841797,4164.69921875,726.6719360352,298.0414428711,101.5446548462,27.1283473969,24.7237243652,190.7496643066,231.43836975099998,313.7962036133,52.280353546099995,153.0456237793,94.4278106689,29.085634231599997,2478.2177734375,106.7705688477,202.82682800290002,201.07917785639998,172.19129943849998,203.72213745119998,160.3178710938,683.1912841797
2021-02-05,1170.2186279297,56.0147438049,27.4145545959,261.967956543,35.670791625999996,48.475357055699995,203.0950927734,659.1859130859,482.5454711914,358.27239990230004,3852.9436035156,5399.82421875,11041.904296875,2984.7836914062,116.39135742190001,39.5109596252,97.89700317379999,54.85335540770001,35.139316558800004,148.99533081049998,436.1430053711,583.7839355469,2187.8295898438,396.018737793,302.9409179688,1266.7056884766,4074.5075683594,727.4527587891,313.0788574219,105.5065841675,26.182586669899997,24.9625415802,181.7964782715,219.2348480225,319.2534484863,48.8368034363,150.595993042,88.4675216675,26.686178207399998,2398.4702148438,104.9529037476,188.6334533691,192.5335083008,173.99186706540002,200.1707763672,149.05685424799998,662.6326904297
2021-02-06,1159.0954589844,56.83385849,29.2025203705,253.5741577148,35.474975585900005,47.3683166504,199.89431762700002,644.1666870117,462.3625488281,363.0576477051,3780.5717773438,5389.0048828125,10905.0009765625,2895.1787109375,114.0865707397,37.084564209,97.1345367432,52.691841125500005,35.758731841999996,144.0395050049,439.8983459473,572.9448242188,2095.1215820312,401.4787902832,303.2573547363,1195.9815673828,3919.0935058594,728.8775634766,321.6802368164,108.0066833496,25.287651062,24.8319129944,174.90161132810002,208.51370239259998,320.677734375,45.9409484863,148.5327911377,83.4998168945,24.732578277600002,2304.9729003906,101.9933624268,177.5913848877,185.8565826416,173.00282287599998,195.2635803223,138.7975769043,633.915222168
2021-02-07,1132.7322998047,56.7653923035,29.9322566986,244.9143981934,34.6321868896,46.0084342957,194.3873901367,629.4202880859,440.4500427246,357.6154174805,3703.4328613281,5360.6137695312,10722.8369140625,2768.3791503906,112.2236938477,35.0927314758,95.05696105959998,51.083934783900006,36.0320892334,138.0842590332,442.0206298828,569.1770629883,2018.9635009766,409.5563354492,301.8210449219,1131.0056152344,3801.6125488281,726.1959228516,328.4442749023,109.11622619629999,24.409105300900002,24.4191532135,168.9891967773,198.5579833984,321.670715332,43.452060699499995,146.3773498535,79.4603424072,23.147457122800002,2213.3757324219,98.5716171265,169.03106689450001,180.4177398682,172.8072814941,189.5556182861,129.6547088623,615.1381835938
2021-02-08,1088.1654052734,56.099521636999995,29.98138237,237.6722869873,33.433856964099995,44.4726295471,189.1331787109,622.7084960938,419.8765869141,351.6829833984,3617.0886230469,5356.7998046875,10654.0205078125,2664.1696777344,111.82381439209999,33.5888557434,92.8337020874,50.1254882812,36.1973762512,132.9498901367,453.51010131839996,569.1802978516,1967.3040771484,419.0801086426,299.3006896973,1067.5291748047,3706.7619628906,721.1632080078,331.1839599609,109.6105194092,23.567407608000003,23.798679351799997,163.9792327881,189.43782043459998,323.4494934082,41.304740905799996,144.16717529299999,76.71811676029999,21.8745269775,2114.9006347656,95.0319213867,162.2498016357,176.19869995119998,173.8360290527,183.66905212400002,121.4486694336,599.5247192383
2021-02-09,1062.9633789062,55.4260597229,29.6491584778,231.6581420898,32.0894851685,43.0395431519,184.1471557617,619.8477783203,400.1407775879,345.9959716797,3535.162109375,5298.5834960938,10542.353515625,2568.4973144531,111.36833953860001,32.3819046021,89.9414672852,49.535209655799996,36.2545967102,127.5784988403,455.8907470703,566.7627563477,1915.4013671875,433.1065979004,295.5935668945,1011.1351928711,3659.0727539062,713.5296630859,330.5559082031,109.87288665770001,22.8154220581,23.115505218499997,159.6396331787,181.64512634279998,326.6129760742,39.4941215515,141.7295532227,74.73817443850001,20.8736343384,2025.6481933594,91.4469223022,156.9142608643,173.19953918459998,175.9432983398,177.9868774414,114.1336364746,590.6241455078
2021-02-10,1029.5001220703,55.680019378699996,29.1180114746,226.1143798828,30.7612819672,41.7312316895,180.71144104,622.0811157227,380.8665771484,343.5981750488,3439.7517089844,5275.0556640625,10448.4970703125,2477.5034179688,112.47254943850001,31.510402679400002,86.8309631348,49.374633789099995,36.2605323792,123.0114364624,460.8669128418,567.6881103516,1916.6550292969,453.0694274902,291.9669189453,958.4460449219,3691.6533203125,703.4968261719,328.4873657227,110.54647827149999,22.1386795044,22.3648147583,155.806350708,175.01287841799999,331.718536377,37.943447113000005,139.1245117188,73.9792404175,20.0209541321,1932.3894042969,87.93318939209999,152.6485900879,171.1918487549,182.2190246582,172.518081665,107.6499023438,591.1905517578
2021-02-11,1013.0191650391,56.1327667236,28.437892913800003,223.1523895264,29.496448516799997,40.665473938000005,177.3113861084,646.46484375,363.9530944824,342.1679992676,3366.4245605469,5266.33203125,10318.3125,2419.2875976562,113.0420532227,30.7809886932,83.3535690308,49.2032356262,36.1246032715,118.0399551392,462.6829833984,564.7906494141,1884.0749511719,468.76763916019996,285.8471679688,908.3034667969,3646.7485351562,695.2998657227,322.6806335449,111.1501922607,21.5441970825,21.597471237199997,152.31257629389998,170.0934906006,335.4627380371,36.625335693400004,136.3383636475,73.4143600464,19.3701095581,1836.6590576172,84.8267593384,149.0135498047,169.9489746094,187.97604370119998,167.2749328613,101.7744903564,591.274230957
2021-02-12,1005.9710083008,57.156536102299995,27.7484493256,219.1349945068,28.3245563507,39.8586730957,173.5747680664,679.9207763672,348.6912841797,353.1418457031,3300.1267089844,5274.1767578125,10120.716796875,2375.7155761719,115.07781219479999,30.2638492584,79.87921905520001,49.3143424988,35.8810539246,113.1173400879,465.8218078613,561.0327758789,1810.3624267578,485.5917663574,280.0143737793,861.9072265625,3636.4921875,694.8662719727,315.5704956055,112.3290405273,21.0463867188,20.8700351715,148.64402771,166.7826538086,342.5438537598,35.5148506165,133.4654388428,73.42794036869999,18.9195747375,1753.3952636719,82.10372161869999,146.0959625244,169.3625488281,199.3603515625,162.2993011475,96.4076690674,598.3087768555
2021-02-13,976.0060424805,57.4590568542,26.832790374800002,212.8797302246,27.142450332600003,38.8738746643,169.6420898438,715.9909057617,334.0156555176,357.8744506836,3189.9096679688,5216.3364257812,9823.140625,2292.2348632812,116.7423934937,29.828428268400003,76.6078262329,49.6376953125,35.5544204712,109.11926269530001,473.9859313965,559.4774780273,1796.6434326172,501.0469055176,274.1431884766,816.6557617188,3561.0629882812,697.9814453125,303.7716674805,113.2222900391,20.5624809265,20.1592445374,145.5702209473,164.9783935547,347.14459228519996,34.5454559326,130.48223876950001,73.7375946045,18.4738922119,1666.0124511719,79.5179290771,143.25495910639998,169.0714111328,206.57174682619998,157.3484344482,91.457649231,602.3265991211
