,JP-01,JP-02,JP-03,JP-04,JP-05,JP-06,JP-07,JP-08,JP-09,JP-10,JP-11,JP-12,JP-13,JP-14,JP-15,JP-16,JP-17,JP-18,JP-19,JP-20,JP-21,JP-22,JP-23,JP-24,JP-25,JP-26,JP-27,JP-28,JP-29,JP-30,JP-31,JP-32,JP-33,JP-34,JP-35,JP-36,JP-37,JP-38,JP-39,JP-40,JP-41,JP-42,JP-43,JP-44,JP-45,JP-46,JP-47
2021-02-07,1138.2630615234,48.5805168152,21.937040329,235.8505096436,27.9360466003,48.3364257812,184.1575317383,665.9633789062,454.1166992188,394.4729003906,3752.7385253906,4862.6362304688,10341.998046875,2917.0598144531,108.7645492554,37.5999183655,109.5121688843,42.8160438538,29.6680698395,139.6663970947,399.767578125,561.3510742188,1976.8115234375,356.923248291,294.9925231934,1259.1739501953,3705.9995117188,1060.1877441406,292.8146362305,102.2058105469,24.9985160828,21.2268257141,179.5055847168,213.5314941406,258.3608703613,39.7996826172,118.8862838745,75.1495285034,25.7886562347,2078.5961914062,82.7229995728,159.4706115723,191.6508331299,146.4215087891,160.0569152832,130.8996276855,629.2095336914
2021-02-08,1110.2297363281,47.541015625,22.4794692993,233.3347015381,26.4772129059,50.9066886902,182.0272521973,663.405456543,444.535369873,387.6756591797,3694.8688964844,4844.4375,10113.861328125,2834.5935058594,109.685798645,36.3669548035,115.1077957153,41.734210968,28.8115329742,134.9465484619,398.1305541992,561.9354248047,1918.0997314453,362.4344482422,299.123840332,1248.1352539062,3597.1884765625,1100.1149902344,296.6932983398,104.5568008423,25.0807247162,21.7204666138,178.4659118652,208.7915039062,254.9234924316,38.8159141541,120.5751419067,73.5492706299,27.3401927948,2026.6544189453,79.0685043335,155.0971221924,188.3573608398,142.7902526855,153.8076629639,127.044708252,611.7593383789
2021-02-09,1087.6479492188,46.2860870361,22.7665920258,229.5422973633,25.0632858276,52.7395401001,180.604309082,657.2383422852,433.5267028809,382.6159973145,3634.365234375,4815.00390625,10040.861328125,2782.0146484375,110.1900100708,35.0918273926,118.4827651978,40.5732078552,28.1679801941,130.3338775635,395.7921142578,564.7745361328,1872.7298583984,365.426361084,300.5822143555,1246.9969482422,3549.8041992188,1120.8950195312,300.0291748047,105.7196960449,24.9412841797,21.8221378326,177.1905517578,202.4274291992,249.6206970215,37.5715827942,120.1338577271,71.8650283813,28.5458984375,1978.5113525391,75.5583648682,150.6918640137,183.8918457031,138.6850891113,148.7373352051,123.0653533936,599.0743408203
2021-02-10,1061.6101074219,45.0641059875,22.9297542572,224.9827728271,23.7316379547,54.161315918,178.8186187744,662.0542602539,423.8143005371,383.2573242188,3612.1188964844,4873.9291992188,10376.4501953125,2821.6867675781,111.471244812,34.0202522278,122.1607971191,39.5611038208,27.9989967346,126.5152893066,403.1667480469,586.4592895508,1890.4735107422,373.7198486328,300.5165100098,1264.8934326172,3608.0380859375,1126.5836181641,302.6289672852,106.0790939331,24.6896686554,21.6612873077,175.1936187744,194.7073974609,243.5312194824,36.2477760315,117.7110900879,70.3359451294,29.4192810059,1925.8790283203,72.3348007202,146.1640625,178.7138061523,135.4715576172,145.9822540283,119.544303894,595.1541137695
2021-02-11,1060.8504638672,44.5516891479,23.4424266815,219.6448822021,22.7119407654,56.4882240295,179.5765686035,677.2041625977,419.939453125,397.5523376465,3624.3454589844,4939.9584960938,10782.26953125,2915.0612792969,113.7585678101,33.308631897,125.7084350586,39.1013526917,28.4762268066,124.0986251831,412.3675842285,603.0104980469,1889.7951660156,383.9786682129,301.9188537598,1290.2366943359,3636.8957519531,1141.1358642578,306.538482666,107.8559951782,24.6347160339,21.6656742096,175.0464935303,188.1784667969,238.804977417,35.1837158203,115.0424728394,69.334197998,31.1710109711,1873.8657226562,69.8677139282,143.5965423584,175.7664642334,133.9639892578,146.7210693359,117.4886550903,604.494140625
2021-02-12,1053.1514892578,44.4617958069,24.5437870026,215.2146606445,21.9375724792,59.7165031433,180.0576324463,676.3189086914,415.1658325195,408.9435119629,3624.0688476562,5028.2924804688,10974.3203125,2897.3818359375,116.0661621094,32.8967056274,128.104095459,38.9590187073,29.4834461212,121.9172897339,413.3956604004,618.6951904297,1848.5952148438,388.6569824219,299.2066040039,1310.3264160156,3681.3142089844,1187.6663818359,310.2841796875,111.81665802,24.9783363342,22.0759525299,178.1920776367,184.674407959,234.1929779053,34.4596824646,112.0799942017,69.3528289795,33.5816879272,1830.8288574219,68.2546310425,143.5319213867,176.5048675537,133.841293335,149.7421875,116.4955368042,617.9982910156
2021-02-13,1021.641418457,44.0317230225,25.1888847351,209.0908508301,21.2586612701,62.0923347473,178.0527038574,669.0855102539,409.9015197754,411.0015869141,3570.9123535156,5035.837890625,11081.2109375,2874.8825683594,116.1763839722,32.2731552124,127.0893096924,38.5572624207,30.2093486786,119.0558013916,408.8229980469,632.3804321289,1791.6867675781,388.008026123,294.5133361816,1313.9047851562,3629.7766113281,1204.2113037109,309.0639648438,114.4490737915,25.2763366699,22.2068634033,180.4976959229,180.5858612061,229.6852111816,33.5261421204,108.4552688599,68.1632385254,34.9912185669,1769.3739013672,66.2829284668,142.8339385986,176.6518707275,131.7595214844,150.8009185791,114.4270858765,613.3814086914
2021-02-14,992.154296875,43.4085235596,25.8660640717,203.5891113281,20.6352138519,63.8737754822,175.9145355225,654.6245727539,402.4062805176,411.1988525391,3531.9799804688,5015.6318359375,11545.2861328125,2857.4807128906,114.8279724121,31.7352428436,124.4877471924,37.9064750671,31.1924743652,116.7749938965,406.2183227539,649.5420532227,1776.3948974609,386.9356994629,288.4467468262,1308.1640625,3568.1047363281,1206.8525390625,303.1412353516,116.115737915,25.3935585022,22.1954269409,182.6960449219,176.7449493408,223.3954772949,32.4434928894,103.9542541504,66.6544265747,35.734588623,1694.8745117188,64.0123825073,142.1758880615,177.4242401123,129.4770965576,151.440032959,112.0508575439,607.0464477539
2021-02-15,972.3798828125,42.9715423584,26.7098178864,201.3558349609,20.2108020782,66.1152496338,172.2873382568,657.4966430664,399.5946960449,418.594543457,3578.1174316406,5194.7495117188,12150.9306640625,3010.9963378906,114.4175415039,31.9454078674,123.5798110962,38.1020278931,33.5273971558,116.8379898071,415.4780578613,678.971496582,1787.9887695312,394.5715942383,283.2075500488,1317.0345458984,3588.9106445312,1219.4627685547,294.7195739746,116.653465271,25.4142513275,22.0148525238,184.0824890137,172.3901519775,216.3793334961,31.2581787109,98.6311264038,65.1165618896,36.1035919189,1635.2280273438,61.6634941101,142.0447235107,179.4387359619,128.5311889648,153.4953460693,110.4956817627,608.2165527344
2021-02-16,943.8925170898,42.5448150635,27.3881912231,197.357635498,19.8982505798,67.6449584961,168.5605773926,644.0635375977,395.3402404785,418.4384460449,3562.3024902344,5172.1259765625,12493.6337890625,3023.8125,113.5106582642,32.5176353455,122.2393798828,38.6899490356,36.6921463013,117.9530258179,417.9584350586,702.8596191406,1795.12109375,400.9531860352,279.9236450195,1317.4594726562,3570.9379882812,1235.7724609375,285.9827880859,116.4069595337,25.2790317535,21.6852111816,183.613494873,167.4046020508,209.7480926514,30.0055809021,93.2214889526,63.436882019,36.3772850037,1567.7921142578,59.4468727112,142.0114440918,181.616027832,126.6811523438,155.1902770996,108.4381332397,606.9290161133
