,JP-01,JP-02,JP-03,JP-04,JP-05,JP-06,JP-07,JP-08,JP-09,JP-10,JP-11,JP-12,JP-13,JP-14,JP-15,JP-16,JP-17,JP-18,JP-19,JP-20,JP-21,JP-22,JP-23,JP-24,JP-25,JP-26,JP-27,JP-28,JP-29,JP-30,JP-31,JP-32,JP-33,JP-34,JP-35,JP-36,JP-37,JP-38,JP-39,JP-40,JP-41,JP-42,JP-43,JP-44,JP-45,JP-46,JP-47
2021-02-07,1087.509765625,46.4089317322,20.932062149,225.3113250732,26.6866550446,46.1776313782,175.8981781006,636.1182861328,433.7339477539,376.5824890137,3584.7834472656,4645.1318359375,9878.6865234375,2787.27734375,103.8960876465,35.8993225098,104.4598388672,40.8794593811,28.3345012665,133.3960723877,381.9106750488,536.2297973633,1888.6734619141,340.9548950195,281.6959838867,1202.8409423828,3540.1730957031,1011.6389160156,279.7470092773,97.5854797363,23.85272789,20.2791042328,171.514175415,203.9642181396,246.8377685547,37.9774665833,113.4968261719,71.7613143921,24.6291999817,1985.2214355469,78.9851608276,152.3388519287,183.0833892822,139.8471679688,152.6698150635,125.0230865479,601.1779785156
2021-02-08,1019.0767822266,43.6319236755,20.5843429565,214.097946167,24.291847229,46.7014122009,166.9860229492,608.6539306641,407.8110046387,355.4692993164,3390.1579589844,4445.1865234375,9279.365234375,2602.0361328125,100.6320495605,33.3373413086,105.3265380859,38.2582359314,26.4264240265,123.7814102173,365.3777770996,515.5958251953,1760.4735107422,332.4880981445,274.3320922852,1145.2529296875,3300.7309570312,1007.7796020508,272.2933654785,95.8613739014,22.9654979706,19.9325828552,163.82472229,191.573135376,233.9517059326,35.540813446,110.4981384277,67.43309021,25.0751514435,1859.1042480469,72.4809646606,142.2918395996,172.8447875977,130.9695587158,140.7328643799,116.5328979492,561.5181274414
2021-02-09,963.7079467773,41.0026702881,20.1075820923,203.2552337646,22.1899356842,46.6813774109,159.8879699707,581.9457397461,383.8038024902,338.5861816406,3218.3054199219,4263.8715820312,8890.828125,2464.8217773438,97.5549850464,31.0325431824,104.5319366455,35.8807525635,24.9311122894,115.3581237793,350.5915527344,500.0774536133,1658.9631347656,323.5096435547,266.0386047363,1104.4813232422,3143.6838378906,990.8912353516,265.748046875,93.5284347534,22.0253143311,19.3260803223,157.0036315918,179.262008667,221.1166992188,33.1773719788,106.1907272339,63.5635223389,25.2599391937,1751.4373779297,66.8330535889,133.4079742432,162.8628387451,122.7346343994,131.3204803467,108.9197998047,530.7559814453
2021-02-10,911.7289428711,38.688949585,19.6209506989,193.041519165,20.3624992371,46.4423866272,153.4024658203,568.1038818359,363.5317993164,328.6646728516,3099.837890625,4182.2446289062,8903.8466796875,2422.7119140625,95.6264572144,29.1415634155,104.3799438477,33.8954315186,24.0062866211,108.5108108521,346.1375732422,503.18359375,1622.9471435547,320.6065979004,257.7363891602,1085.5120849609,3096.5876464844,965.3117675781,259.7657470703,90.9401855469,21.107542038,18.589012146,150.4651031494,167.0974121094,209.0485992432,30.9925994873,100.7909927368,60.2727966309,25.2197570801,1651.9686279297,61.9812736511,125.3981018066,153.3827514648,116.1594543457,124.8813400269,102.5138549805,511.0246582031
2021-02-11,886.1865844727,37.2016143799,19.5066719055,183.2803344727,18.9526634216,47.0837364197,149.8256988525,565.1510009766,350.2792053223,331.548034668,3025.0100097656,4122.64453125,8997.564453125,2434.1125488281,94.9046783447,27.7393836975,104.4223251343,32.5827331543,23.7375545502,103.516708374,344.3511962891,503.1271057129,1577.8719482422,320.3341674805,251.8486938477,1076.6987304688,3035.7233886719,951.2150878906,255.8925170898,89.9350967407,20.4703769684,18.0805664062,146.2351226807,157.0612030029,199.3377380371,29.2458534241,95.7649612427,57.7746658325,25.9698810577,1563.09765625,58.2026519775,119.808303833,146.7124481201,111.6992111206,122.0521850586,97.9760131836,504.8265380859
2021-02-12,858.3610839844,36.218120575,19.9222640991,175.1973571777,17.8578262329,48.5198326111,146.5604553223,550.6361083984,337.8045043945,332.703704834,2950.9558105469,4093.859375,8933.9580078125,2360.2329101562,94.431350708,26.7246742249,103.8118896484,31.6661739349,23.9693126678,99.2242355347,336.7849731445,503.5053710938,1505.7349853516,316.2869262695,243.4914703369,1066.5970458984,2997.69921875,966.0419311523,252.6855010986,90.9632720947,20.2391872406,17.9712181091,145.2458648682,150.3775024414,190.6932220459,27.9335136414,91.0069274902,56.3725166321,27.2688045502,1489.7143554688,55.4589958191,116.8191986084,143.7245330811,108.8567199707,121.5092086792,94.7781066895,503.5229492188
2021-02-13,814.6342773438,35.0841255188,19.9982471466,166.4960174561,16.9263629913,49.3148765564,141.7843475342,532.9211425781,326.2357177734,327.1229858398,2844.4313964844,4010.7768554688,8824.73828125,2290.9543457031,92.4358978271,25.6480541229,100.7845993042,30.6487216949,24.0240402222,94.7916564941,325.8153076172,503.3545837402,1427.5783691406,308.8701477051,234.4652252197,1046.078125,2891.4465332031,958.416015625,246.2169036865,91.0784988403,20.0260124207,17.6804027557,143.9124908447,143.8495025635,182.9257507324,26.5771751404,86.1282043457,54.2006912231,27.7717895508,1408.3975830078,52.6760749817,113.7116394043,140.7260894775,104.8186645508,119.7443466187,91.0681381226,488.9048156738
2021-02-14,775.809753418,33.9105491638,20.1339740753,158.9555358887,16.1069507599,49.7136001587,137.3673400879,511.3139648438,314.0307006836,320.9401855469,2758.9123535156,3917.2937011719,9014.5087890625,2232.9133300781,89.5693130493,24.7336368561,96.8430099487,29.5422554016,24.3205089569,91.1735458374,317.4695739746,506.8875732422,1387.8591308594,302.0143737793,225.2112579346,1021.1455688477,2787.1533203125,942.1152954102,236.8109436035,90.6118545532,19.7352962494,17.3277664185,142.822769165,138.0737762451,174.420791626,25.2166633606,80.9496688843,51.971370697,27.7979812622,1322.9653320312,49.8773345947,110.9872436523,138.6044158936,100.9950866699,117.9496307373,87.4386367798,474.4483337402
2021-02-15,747.1958007812,32.9803924561,20.4253845215,154.4783172607,15.4976177216,50.5455780029,132.2047119141,504.689453125,306.4069519043,321.0732421875,2746.21484375,3986.828125,9318.49609375,2312.0324707031,87.6906585693,24.4684658051,94.5076599121,29.1761550903,25.6721076965,89.6547698975,319.083404541,520.4578857422,1372.6545410156,302.6879577637,217.3060760498,1010.1210327148,2754.880859375,935.6655273438,226.2494812012,89.450920105,19.4139785767,16.8891201019,141.3948364258,132.3502960205,165.9925842285,23.8721351624,75.4758834839,49.8964233398,27.5920372009,1254.2431640625,47.2066268921,108.9778671265,137.7643890381,98.5152816772,117.5251617432,84.7224502563,467.1345825195
2021-02-16,714.0697021484,32.1422309875,20.6151390076,149.0514526367,15.0166559219,50.8995475769,127.3491134644,486.7357788086,298.4383239746,316.0254821777,2691.5131835938,3908.029296875,9428.3603515625,2285.9636230469,85.6428070068,24.5244846344,92.0671463013,29.1612663269,27.6284713745,89.1226654053,316.0269470215,530.1978759766,1356.7607421875,302.8574829102,211.4658050537,994.6892089844,2698.6950683594,933.6605834961,216.15184021,87.8751602173,19.0158481598,16.37758255,138.8320617676,126.5388793945,158.3488006592,22.5574893951,70.2359313965,47.8612098694,27.3688602448,1183.8056640625,44.7969703674,107.2665481567,137.2885437012,95.599395752,117.0172576904,81.8634643555,458.9340515137
2021-02-17,687.063293457,31.2303066254,20.7182750702,143.8069152832,14.4956731796,50.7928543091,122.5429840088,461.2788391113,284.1087036133,310.7828979492,2595.3864746094,3757.3110351562,9269.943359375,2153.0432128906,82.4520568848,24.2805423737,88.1729660034,28.6529312134,28.8292694092,86.9822311401,301.9153442383,534.9735717773,1305.935546875,298.7913208008,203.8772277832,988.9979248047,2654.1296386719,935.3151245117,208.2553710938,87.7104721069,18.8834648132,16.1280384064,138.5355377197,122.4906463623,151.7462463379,21.4579868317,65.6140975952,46.4620819092,27.3281421661,1124.404296875,43.0280189514,106.0545043945,137.4600372314,92.7613220215,115.5777511597,79.4817504883,463.5691833496
