,JP-01,JP-02,JP-03,JP-04,JP-05,JP-06,JP-07,JP-08,JP-09,JP-10,JP-11,JP-12,JP-13,JP-14,JP-15,JP-16,JP-17,JP-18,JP-19,JP-20,JP-21,JP-22,JP-23,JP-24,JP-25,JP-26,JP-27,JP-28,JP-29,JP-30,JP-31,JP-32,JP-33,JP-34,JP-35,JP-36,JP-37,JP-38,JP-39,JP-40,JP-41,JP-42,JP-43,JP-44,JP-45,JP-46,JP-47
2021-02-04,566.4573695591638,17.634560529172266,7.75437501419889,88.10390660087829,11.413966598315616,15.98855041502892,66.2440737524745,285.6118533485921,161.4748009435998,114.65064013817248,968.2482157410107,717.7662965206655,3318.989799906764,1013.3842395776616,38.0719394051413,13.661022855103376,30.94313929235512,18.572079728418167,10.864321232983906,49.00152673372705,134.9679448880001,192.51199230097384,702.2322000183593,124.36824499192336,96.83761946534482,284.78269520776405,1087.664408329346,236.52114663971636,95.97439917051271,32.70111615056864,8.736479865815985,7.959404062050833,61.427162971502206,74.53078073290457,101.05145880464178,16.8371977123053,49.285197263580216,30.409432795142855,9.36633981494949,790.4122433731809,34.38431901897321,65.31665754143887,64.75362194327803,55.451612899537416,65.60801356754503,51.62867977525744,384.9088355396483
2021-02-05,556.4314488920114,17.917835154524077,8.765149538297369,83.82315939945755,11.413777306466077,15.508142562434697,64.9847856375483,278.1082032856349,154.40431261624371,114.6205909859001,947.3928560137442,709.2800326901973,3232.622736880328,978.9657575229292,37.24223490146261,12.64285667009741,31.324311205241102,17.552485812756956,11.243491353718493,47.67589492065069,139.53799930971383,186.79669500710918,675.0627379142354,126.69052186832305,96.92708398684766,268.03307745475604,1057.30922294905,235.23012225298683,100.15790232678923,33.758450900800035,8.378100917852823,7.983543720915186,58.16837892677084,70.1488502364684,102.14741156538472,15.628334222714324,48.18627027021857,28.308023621378634,8.538538127288746,760.0920920263042,33.58337450349199,60.35635509594044,61.60383041003054,55.67221089219465,64.05308376020686,47.69581881510063,370.9343502242406
2021-02-06,547.9469955100092,18.072236675996418,9.278053727948326,80.6670680356956,11.28536444161686,15.066019913112191,63.589628043816354,270.19774989076313,147.08883857841496,115.47068704624144,924.2148457573226,703.7542748719823,3174.0763546212197,944.0629653815241,36.29331860115405,11.797844271077015,30.89997332880684,16.76357431995849,11.374974952914933,45.82316079249175,139.91076320061808,182.26483547295106,642.7060723835833,127.6763834825592,96.46227229751327,251.60185049430564,1011.0921597985862,234.30547776419053,102.29620237763685,34.35556150518068,8.044926859309971,7.895475999973167,55.636995186100094,66.33183588459885,102.00443065178969,14.617205240348884,47.25113392126054,26.563992499518083,7.867515862610728,726.240558711522,32.44787830549685,56.49304466048882,59.12145469882966,55.03452749881284,62.12312845748704,44.15592277342625,352.7992004846856
2021-02-07,532.6714612458641,17.954638190263918,9.456189106163828,77.50300414486773,10.959466984248253,14.556859495502925,61.51294063227739,262.62793490759867,139.3823692470556,113.14105624359365,900.6124887339073,696.3740077210521,3104.7056188318197,897.971855405952,35.51335207585642,11.105842779012939,30.08058213756522,16.167147888062186,11.401225896301419,43.69830169974246,139.8358481698238,180.11527193881122,616.0884306837248,129.54434013912123,95.49943253049636,236.68398123324397,975.6402658020721,232.2109950081876,103.8808101767632,34.523251808976184,7.72455041403048,7.723810567467016,53.47336219545669,62.833598894923696,101.77899272647284,13.753533366936312,46.3212878463077,25.146495993816295,7.324564995124777,693.7281933187534,31.195263655974266,53.487164416419404,57.08906900187138,54.68328101801622,59.99216253768029,41.0309816713321,340.5500021701105
2021-02-08,509.27935249501905,17.659298375029763,9.424355909214166,74.85417533144216,10.530115966937053,14.004352482913198,59.56573379051613,258.593780116023,132.23990547988706,110.73870768016496,875.4444174849726,692.5759268413885,3070.1516650915873,860.0628831087273,35.21895005942018,10.579662179096044,29.23785979874408,15.78881659002451,11.398518899223532,41.873924232064766,142.77139102896282,179.26035574108235,597.4700850723417,131.91161156300328,94.25151182383819,222.33937772285256,946.7818838013353,229.50894075936236,104.235481231589,34.51215905949631,7.422528472975357,7.492155704169372,51.640962712646335,59.66328961045803,101.8514135588534,13.012468171323262,45.40551122785841,24.16374222996929,6.888826305987989,659.7184880944646,29.93293202518781,51.09712353442918,55.48835283801569,54.74635850398964,57.8546641934552,38.25183841424183,330.3282533094724
2021-02-09,495.3424314570485,17.37247298112567,9.279073800662449,72.64668601878616,10.063389089527478,13.495022568694054,57.745874583080564,256.300376088977,125.48204314841111,108.48264583298734,851.9450743813554,682.1091663999633,3024.942008400776,825.6172108614221,34.92506271882599,10.15592248962249,28.205514046278793,15.536163941303624,11.367023458291152,40.00986228611711,142.8911917335186,177.73200597276303,579.2062575372352,135.72373649417895,92.68448218491582,209.6886650678606,930.5881536131059,226.10964609410232,103.58361455914044,34.4439150196683,7.154507924673629,7.246156107027422,50.05779501616758,56.96350788669278,102.40000854002648,12.389062084299313,44.44637316799893,23.439410185883357,6.545311716553519,629.1696265968237,28.68022334834169,49.20417045688616,54.30867122234318,55.16939236995169,55.825064674501014,35.79397166656958,324.0253696469623
2021-02-10,477.8801269072369,17.384799220601327,9.078029779140989,70.6328385504744,9.60941157454945,13.034161264020726,56.448218372413855,256.2240841514079,118.97307608445198,107.3148166085654,825.7340860709805,676.4469548680894,2986.3815891706413,793.278656790729,35.134372484173845,9.844444616799512,27.124432448694414,15.425827828900644,11.324702503419747,38.428043139399826,143.87990386025533,177.33028166698946,577.332801685725,141.40654982304412,91.19289215031445,197.99336042226275,935.2256755726062,222.06980194316193,102.5340816021626,34.51881520406523,6.9149584780338005,6.983910197160822,48.665839300148306,54.67073084505404,103.58955312675806,11.856978795571804,43.46009090521183,23.111489903888778,6.253549269676295,597.8783295248629,27.471566471402532,47.68015584293938,53.469893082170714,56.909318456971015,53.9005283147469,33.62988833454817,323.0756618019351
2021-02-11,468.5753735993887,17.46512082233647,8.836336880714574,69.46284669770853,9.181964610491116,12.656850657282195,55.19156302248168,265.32007719339475,113.28949074179133,106.49510621934368,805.2963190970597,672.9574063014421,2938.832557685965,771.9226679029972,35.18799774998685,9.582996701948021,25.94686397336397,15.31824077845983,11.242960594244236,36.7456865168746,143.93518202738014,175.80630664348956,565.5255477598088,145.770377585782,88.9686511280617,186.97924084701341,920.6085012220115,218.71663244391095,100.37187881654695,34.58480011375595,6.705216929312702,6.720890417678808,47.40741227756364,52.947699983021685,104.38404439874719,11.40520102501207,42.44054276600991,22.85468149502505,6.029052236212219,566.2682576328247,26.408488631382994,46.38093580947448,52.894554751413736,58.49291669958811,52.07943190567568,31.683027909253973,321.98735749418455
2021-02-12,463.836513341447,17.727381578632812,8.596399571340854,67.99583243547232,8.789261360122163,12.36652893170246,53.85705305080592,278.12689128673355,108.19362564344243,109.56067401702677,786.9359285172183,671.8209204405108,2873.418155856759,755.6191849470499,35.70637037063779,9.392172584190003,24.7865321906128,15.304241842465133,11.132254558591955,35.10156189794693,144.4496599374167,174.0833698087483,541.6784995674365,150.5005654839663,86.87773094938926,176.86871648793567,915.1121955474492,217.89102198838333,97.85484661435038,34.83997294214257,6.529067259648806,6.474157159985787,46.118743099249606,51.75235539518792,106.24009422718203,11.0245957504398,41.41437807271839,22.786573547372424,5.8701466823100406,538.887304230696,25.479835218776564,45.328151486684796,52.54424359501007,61.825363727113164,50.370435858477485,29.917175025703024,324.78113941334266
2021-02-13,448.72903378134373,17.770170195684486,8.290382087750395,65.86570286395751,8.398397828574469,12.026521190148488,52.48592191196014,291.9794765271612,103.34299369589984,110.70687695758782,758.4785309308231,662.5480487323907,2780.9472168662473,726.9807696782431,36.11621071883511,9.23053900080023,23.703399312777865,15.360644625832458,10.99966984996767,33.76398614070144,146.55575315642548,173.10386246190325,536.0366761482958,154.82426832464364,84.81340565613299,167.10569652731368,893.5674735434097,218.24419468046685,93.93147251599095,35.015474936779036,6.36032286008723,6.236024309146462,45.036226347827544,51.045735129076405,107.34941866268444,10.693168001947264,40.372617216134635,22.817043348195742,5.715450706842319,510.56453395533805,24.606841031366564,44.31884242786851,52.30350396042879,63.86398986889936,48.693433844453914,28.299994183063546,326.01881067349126
